"Date","Price","Open","High","Low","Vol.","Change %"
"22-01-2025","1,149.85","1,154.10","1,161.45","1,131.00","285.98K","-1.26%"
"21-01-2025","1,164.55","1,185.00","1,187.95","1,159.05","46.26K","-1.25%"
"20-01-2025","1,179.30","1,185.00","1,190.00","1,172.15","35.66K","-0.64%"
"17-01-2025","1,186.85","1,181.00","1,189.95","1,172.55","28.59K","0.37%"
"16-01-2025","1,182.45","1,165.00","1,183.95","1,159.50","47.49K","2.30%"
"15-01-2025","1,155.85","1,179.95","1,186.40","1,140.10","207.39K","-1.72%"
"14-01-2025","1,176.05","1,170.00","1,181.95","1,158.00","45.16K","-0.06%"
"13-01-2025","1,176.70","1,180.10","1,239.85","1,157.75","141.31K","-1.07%"
"10-01-2025","1,189.40","1,236.85","1,236.85","1,167.55","52.09K","-3.34%"
"09-01-2025","1,230.55","1,218.65","1,239.55","1,213.00","37.02K","0.82%"
"08-01-2025","1,220.50","1,210.65","1,224.00","1,206.00","22.91K","-0.09%"
"07-01-2025","1,221.55","1,203.00","1,225.00","1,200.00","23.40K","1.39%"
"06-01-2025","1,204.75","1,233.85","1,239.35","1,194.75","45.18K","-2.16%"
"03-01-2025","1,231.35","1,244.75","1,251.70","1,220.25","46.66K","-1.08%"
"02-01-2025","1,244.75","1,239.60","1,273.45","1,222.00","78.68K","0.70%"
"01-01-2025","1,236.05","1,241.90","1,248.00","1,227.00","29.28K","-0.12%"
"31-12-2024","1,237.50","1,199.00","1,243.85","1,192.10","82.76K","3.40%"
"30-12-2024","1,196.85","1,246.70","1,260.85","1,190.00","59.20K","-4.00%"
"27-12-2024","1,246.70","1,242.70","1,255.40","1,231.45","14.85K","0.32%"
"26-12-2024","1,242.70","1,245.35","1,253.80","1,235.10","25.40K","-0.21%"
"24-12-2024","1,245.35","1,250.00","1,260.20","1,240.45","55.54K","-0.20%"
"23-12-2024","1,247.90","1,264.45","1,267.50","1,224.00","63.11K","-1.28%"
